org,dest,days,departure_date,people_number,housing,cuisine,transportation,budget,query,level,details
,"['San Diego on day 1', 'San Luis Obispo on day 3', 'Los Angeles on day 5']",7.0,,,"['private room', 'smoking']",,no self-driving,4600.0,"Could you plan a 7-day trip for us to San Diego on day 1, then San Luis Obispo on day 3, and Los Angeles on day 5? We prefer accommodations with a private room that allows smoking. Our transportation preference is to not self-drive, and our budget for this trip is $4600.",hard,"[{'operation': 'ADD', 'attribute': 'departure_date', 'value': '2022-03-25', 'priority': 0, 'question': 'When are you planning to depart for this trip to San Diego, San Luis Obispo, and Los Angeles?', 'answer': 'I plan to depart on March 25, 2022.'}, {'operation': 'ADD', 'attribute': 'people_number', 'value': 2, 'priority': 0, 'question': 'Just to clarify, could you please let me know how many people will be joining you on this trip?', 'answer': ""Absolutely, it's going to be a fantastic trip with two of us exploring and creating unforgettable memories together!""}, {'operation': 'ADD', 'attribute': 'org', 'value': 'Salt Lake City', 'priority': 0, 'question': 'I can help with planning your trip, but I need to know the departure city. Where will you be starting your journey from?', 'answer': 'Salt Lake City is where my adventure begins! I can already feel the excitement building up as I plan this trip. The thought of exploring new places always fills me with joy and anticipation.'}]"
,"['Alpena on day 1', 'Kalamazoo on day 3']",5.0,2022-03-21,2.0,"['private room', 'parties']",,no flight,1700.0,"Please organize a 5-day trip for 2 individuals starting on March 21st, 2022. We plan to visit Alpena on the 1st day and Kalamazoo on the 3rd day. Our budget is $1700, and we prefer accommodations with a private room that allows parties. Additionally, we'd like to avoid flights for transportation.",hard,"[{'operation': 'ADD', 'attribute': 'org', 'value': 'Milwaukee', 'priority': 0, 'question': 'I can help with that! Just to confirm, could you please let me know the departure city for your trip?', 'answer': 'Milwaukee'}]"
,,7.0,2022-03-22,1.0,,,,4700.0,"Would you be able to provide a 7-day travel plan for a solo traveler departing on March 22nd, 2022, with a budget of $4700?",easy,"[{'operation': 'ADD', 'attribute': 'org', 'value': 'Los Angeles', 'priority': 0, 'question': 'Where will you be departing from for your solo travel adventure starting on March 22nd, 2022 with a budget of $4700?', 'answer': ""I am beyond excited to kick off my solo travel adventure from the vibrant city of Los Angeles! The thought of exploring new places and immersing myself in different cultures already has me counting down the days until March 22nd, 2022. With a budget of $4700, I can't wait to see where this journey takes me!""}, {'operation': 'ADD', 'attribute': 'dest', 'value': ['Fort Myers on day 1', 'Jacksonville on day 3', 'Ontario on day 5'], 'priority': 0, 'question': 'Which cities are you interested in visiting during your 7-day trip, and on which specific days do you plan to arrive in each city?', 'answer': 'I plan to visit Fort Myers on day 1, Jacksonville on day 3, and Ontario on day 5.'}, {'operation': 'REPLACE', 'attribute': 'dest', 'value': ['Fort Myers on day 1', 'Jacksonville on day 3', 'Orlando on day 5'], 'priority': 2, 'question': 'It seems that Ontario is not accessible by any transportation methods. Is there another destination you would like to consider for your 7-day trip?', 'answer': ""Absolutely, Orlando is my top choice for this trip! The vibrant atmosphere and endless entertainment options make it the perfect destination for a 7-day getaway. I can't wait to explore all the theme parks, enjoy the sunny weather, and immerse myself in the magical world of Orlando!""}]"
Los Angeles,"['Colorado Springs on day 1', 'Grand Junction on day 3']",5.0,2022-03-13,,,,,4700.0,"Could you suggest a 5-day travel itinerary starting from Los Angeles, with visits to Colorado Springs on day 1 and Grand Junction on day 3? We plan to depart on March 13th, 2022, with a budget of $4700.",easy,"[{'operation': 'ADD', 'attribute': 'people_number', 'value': 1, 'priority': 0, 'question': 'How many people will be joining you on this trip?', 'answer': 'I am traveling alone.'}]"
Minneapolis,"['Abilene on day 1', 'Amarillo on day 3', 'Lubbock on day 5']",,,2.0,"['shared room', 'parties']",,,11900.0,"Could you plan a trip for 2 individuals starting from Minneapolis and visiting Abilene on day 1, Amarillo on day 3, and Lubbock on day 5? Our budget is $11,900, and we prefer shared accommodations that allow parties.",medium,"[{'operation': 'ADD', 'attribute': 'departure_date', 'value': '2022-03-22', 'priority': 0, 'question': 'When are you planning to depart from Minneapolis for this trip?', 'answer': 'I plan to depart from Minneapolis on March 22, 2022.'}, {'operation': 'ADD', 'attribute': 'days', 'value': 7, 'priority': 0, 'question': 'To better assist you, could you please specify the total number of days you intend to spend on this trip?', 'answer': 'I plan to spend 7 days on this trip.'}, {'operation': 'REPLACE', 'attribute': 'housing', 'value': ['children under 10'], 'priority': 2, 'question': ""It looks like the accommodation preference you've specified might not be feasible for this trip. Are you open to exploring other accommodation options to fit within your budget and itinerary?"", 'answer': 'Yes, I am open to exploring other accommodation options that allow children under 10.'}]"
St. Louis,"['Orlando on day 1', 'Fort Myers on day 3']",,2022-03-15,,,,,2900.0,"Create a travel plan starting from St. Louis, departing on March 15th, 2022, with a budget of $2900. The itinerary includes visiting Orlando on day 1 and Fort Myers on day 3.",easy,"[{'operation': 'ADD', 'attribute': 'people_number', 'value': 1, 'priority': 0, 'question': 'Could you please let me know how many people will be joining you on this trip?', 'answer': 'One person, including me.'}, {'operation': 'ADD', 'attribute': 'days', 'value': 5, 'priority': 0, 'question': 'Just to confirm, how many days are you planning for this trip starting from St. Louis on March 15th, 2022, with a budget of $2900, including visits to Orlando on day 1 and Fort Myers on day 3?', 'answer': ""Oh, I am so excited about this trip! It's going to be a wonderful 5-day adventure starting from St. Louis on March 15th. I can't wait to explore Orlando on day 1 and then head over to Fort Myers on day 3. The budget of $2900 sounds perfect for all the fun activities and experiences I have in mind!""}]"
Billings,"['Minneapolis on day 1', 'Bemidji on day 3']",5.0,2022-03-06,1.0,,,,4000.0,"Would you be able to create a 5-day travel plan for a solo traveler starting from Billings? The itinerary should include visits to Minneapolis on day 1 and Bemidji on day 3. The departure date is set for March 6th, 2022, and the budget allocated for this trip is $4000.",easy,[]
New Orleans,['Louisville on day 1'],3.0,2022-03-12,1.0,,,,1653.0,"I am planning a 3-day solo trip starting from New Orleans and heading to Louisville on day 1. My departure date is March 12th, 2022, and my budget is $1653.",easy,"[{'operation': 'REPLACE', 'attribute': 'budget', 'value': 1900, 'priority': 0, 'question': ""It looks like the budget you've specified might not be enough for your trip. Would you be willing to adjust your budget slightly to ensure a more comfortable travel experience?"", 'answer': ""Absolutely, I believe that by adjusting the budget to $1,900, we can unlock a whole new level of comfort and enjoyment for this trip. It's all about creating those unforgettable moments and experiences that truly make traveling worth it. Let's make this journey one to remember!""}]"
,"['Atlanta on day 1', 'Kahului on day 3', 'Augusta on day 5']",7.0,2022-03-10,3.0,"['shared room', 'visitors']",,,4000.0,"Can you suggest a 7-day travel plan for 3 individuals starting on March 10th, 2022? We plan to visit Atlanta on day 1, Kahului on day 3, and Augusta on day 5. Our budget for the trip is $4000, and we prefer shared accommodations that allow visitors.",medium,"[{'operation': 'ADD', 'attribute': 'org', 'value': 'Greensboro', 'priority': 0, 'question': 'Where will you be departing from for this trip?', 'answer': 'I will be departing from Greensboro.'}, {'operation': 'REPLACE', 'attribute': 'dest', 'value': ['Atlanta on day 1', 'Decatur on day 3', 'Augusta on day 5'], 'priority': 1, 'question': 'It seems that reaching Kahului is not possible based on the available transportation methods. Is there another destination you would like to consider for day 3 of your trip?', 'answer': 'Decatur.'}, {'operation': 'REPLACE', 'attribute': 'housing', 'value': ['smoking'], 'priority': 2, 'question': ""It looks like the accommodation preference you've mentioned might not be feasible for this trip. Is there another type of accommodation you would consider for your travel plan?"", 'answer': 'Yes, I would consider accommodations that allow smoking.'}]"
Akron,,7.0,2022-03-23,2.0,,"['American', 'Chinese']",,1246.0,"Would you be able to organize a 7-day trip for 2 individuals starting from Akron on March 23rd, 2022? Our budget is set at $1246, and we are interested in exploring American and Chinese cuisine during our journey.",medium,"[{'operation': 'ADD', 'attribute': 'dest', 'value': ['Augusta on day 1', 'Decatur on day 3', 'Atlanta on day 5'], 'priority': 0, 'question': 'When do you plan to arrive in each destination during your 7-day trip, and which cities are you considering visiting?', 'answer': ""Oh, I'm so excited about my upcoming trip! I'll be arriving in Augusta on day 1, then heading to Decatur on day 3, and finally exploring Atlanta on day 5. It's going to be a fantastic adventure filled with new experiences and discoveries!""}, {'operation': 'REPLACE', 'attribute': 'budget', 'value': 8900, 'priority': 1, 'question': ""It looks like the budget you've specified might not be enough for the trip. Would you consider adjusting the budget to meet the minimum required amount?"", 'answer': 'I can adjust the budget to $8,900.'}]"
Bangor,['Washington on day 1'],,2022-03-21,3.0,"['entire room', 'pets']",['Indian'],no self-driving,,"Could you organize a trip for 3 individuals starting from Bangor and heading to Washington on day 1? We plan to depart on March 21st, 2022, and require accommodations that offer an entire room suitable for pets. Our culinary preference leans towards Indian cuisine, and we prefer not to self-drive during our journey.",hard,"[{'operation': 'ADD', 'attribute': 'budget', 'value': 3100, 'priority': 0, 'question': 'To better tailor the travel plan to your needs, could you please specify the budget you have in mind for this trip?', 'answer': ""Absolutely! I believe that with a budget of $3100, we can create a fantastic travel plan that will meet all my expectations and make this trip truly unforgettable. Let's make the most out of every penny and create some amazing memories along the way!""}, {'operation': 'ADD', 'attribute': 'days', 'value': 3, 'priority': 0, 'question': 'Just to confirm, could you let me know the number of days you are planning for this trip?', 'answer': 'We are planning for a 3-day trip.'}, {'operation': 'REPLACE', 'attribute': 'cuisine', 'value': None, 'priority': 1, 'question': ""I couldn't find any Indian restaurants in the cities you plan to visit. Do you have any other cuisine preferences in mind for your trip?"", 'answer': ""Absolutely! I love exploring different cuisines, so I'm open to trying anything new and exciting during my trip. Food is such an important part of experiencing a new culture, so I'm looking forward to culinary adventures wherever I go.""}]"
